Tipo Contenedor;Distrito;Tipo Vía;Nombre;Número;LONGITUD;LATITUD;DIRECCION
ENVASES;PUENTE DE VALLECAS;CALLE;Convenio;;-3,67168;40,3894761;Calle  Convenio,
ENVASES;CARABANCHEL;CAMINO; de las Cruces;;-3,761084;40,3687491;Camino  de las Cruces,
ENVASES;CARABANCHEL;CAMINO; de las Cruces;;-3,757716;40,372391;Camino  de las Cruces,
ENVASES;CARABANCHEL;CAMINO; de las Cruces;;-3,762017;40,367848;Camino  de las Cruces,
ORGANICA;PUENTE DE VALLECAS;CALLE;de Carlos Solé;;-3,647678;40,3911681;Calle  de Carlos Solé,
ENVASES;USERA;AVENIDA;de Orcasur;;-3,7012021;40,3683911;Avenida de Orcasur,
ENVASES;USERA;AVENIDA;de Orcasur;;-3,700734;40,3663331;Avenida de Orcasur,
ENVASES;USERA;AVENIDA;de Orcasur;;-3,700972;40,3653191;Avenida de Orcasur,
ENVASES;USERA;AVENIDA;de Orcasur;;-3,701663;40,366411;Avenida de Orcasur,
ORGANICA;VILLAVERDE;CALLE;de Albino Hernández Lázaro;;-3,70795;40,349401;Calle  de Albino Hernández Lázaro,
ENVASES;CARABANCHEL;PLAZA;de Setúbal;;-3,723711;40,383879;Plaza  de Setúbal,
ORGANICA;PUENTE DE VALLECAS;RONDA;del Sur;;-3,671332;40,37693;Ronda  del Sur,
ORGANICA;VILLAVERDE;PASEO;de Gigantes y Cabezudos;;-3,693769;40,3578401;Paseo  de Gigantes y Cabezudos,
ENVASES;VILLAVERDE;CALLE;de Cifuentes;;-3,695638;40,348603;Calle  de Cifuentes,
ENVASES;VILLAVERDE;CALLE;de Menasalbas;;-3,697398;40,363081;Calle  de Menasalbas,
ENVASES;VILLAVERDE;CALLE;de Cifuentes;;-3,696448;40,348693;Calle  de Cifuentes,
ORGANICA;PUENTE DE VALLECAS;CALLE;de la Sierra del Valle;;-3,659392;40,389465;Calle  de la Sierra del Valle,
ORGANICA;PUENTE DE VALLECAS;AVENIDA;de Pablo Neruda;;-3,642072;40,391875;Avenida de Pablo Neruda,
ENVASES;CARABANCHEL;PLAZA;de Alloz;;-3,736478;40,376183;Plaza  de Alloz,
