ANIO,MES,FECHA,ID,TIPO_EDIFICIO,EDIFICIO,URI_EDIFICIO,TIPO_DE_VIA,NOMBRE_DE_LA_CALLE,VIA,NUMERO_DEL_EDIFICIO,CODIGO_POSTAL,DISTRITO,URI_DISTRITO,CODIGO_DISTRITO,BARRIO,URI_BARRIO,CODIGO_BARRIO,POBLACION,COORDENADA_X,COORDENADA_Y,TIPO,CLASE,UNIDADES,CONSUMO
2021,4,2021-04,1119,Centros mixtos,CDI_Arganzuela,Q16545668,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440987.11,4472682.14,Externo,Energia reactiva,kVAr,22296
2021,4,2021-04,1119,Centros mixtos,CDI_Arganzuela,Q16545668,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440987.11,4472682.14,Externo,Gas,m3/h,5967.3
2021,4,2021-04,1119,Centros culturales,CDI_Arganzuela_Mayores,,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440967.93,4472680.63,Externo,Energia activa,kWh,2269.4
2021,4,2021-04,1119,Centros culturales,CDI_Arganzuela_Mayores,,CALLE,CANARIAS,CALLE_CANARIAS,17,28045,ARGANZUELA,Arganzuela,2,PALOS_DE_MOGUER,Palos_de_Moguer_(Madrid),26,Madrid,440967.93,4472680.63,Externo,Energia reactiva,kVAr,0
2021,4,2021-04,1772,Centros deportivos,CDM_Alfredo_Goyeneche,,CALLE,ARROYO DE POZUELO,CALLE_ARROYO_DE_POZUELO,99,28023,MONCLOA-ARAVACA,Moncloa-Aravaca,9,ARAVACA,Moncloa-Aravaca,97,Madrid,433641.18,4478204.93,Externo,Energia activa,kWh,51205
2021,4,2021-04,1772,Centros deportivos,CDM_Alfredo_Goyeneche,,CALLE,ARROYO DE POZUELO,CALLE_ARROYO_DE_POZUELO,99,28023,MONCLOA-ARAVACA,Moncloa-Aravaca,9,ARAVACA,Moncloa-Aravaca,97,Madrid,433641.18,4478204.93,Externo,Energia reactiva,kVAr,6390
2021,4,2021-04,631,Centros deportivos,CDM_Aluche,Q63191263,AVENIDA,DE LAS AGUILAS,AVENIDA_DE_LAS_AGUILAS,14,28044,LATINA,Latina_(Madrid),10,AGUILAS,Las_Águilas,107,Madrid,434499.85,4470564.28,Externo,Energia activa,kWh,47998
2021,4,2021-04,631,Centros deportivos,CDM_Aluche,Q63191263,AVENIDA,DE LAS AGUILAS,AVENIDA_DE_LAS_AGUILAS,14,28044,LATINA,Latina_(Madrid),10,AGUILAS,Las_Águilas,107,Madrid,434499.85,4470564.28,Externo,Energia reactiva,kVAr,2528
2021,4,2021-04,631,Centros deportivos,CDM_Aluche,Q63191263,AVENIDA,DE LAS AGUILAS,AVENIDA_DE_LAS_AGUILAS,14,28044,LATINA,Latina_(Madrid),10,AGUILAS,Las_Águilas,107,Madrid,434499.85,4470564.28,Procesado,Gas,m3/h,1400.87
2021,4,2021-04,1971,Centros deportivos,CDM_Angel_Nieto-Puente_de_Vallecas,,CALLE,PAYASO FOFO,CALLE_PAYASO_FOFO,7,28018,PUENTE_DE_VALLECAS,Puente_de_Vallecas,13,PALOMERAS_BAJAS,Palomeras_Bajas,133,Madrid,443987.26,4471411.87,Externo,Energia activa,kWh,29711
2021,4,2021-04,1971,Centros deportivos,CDM_Angel_Nieto-Puente_de_Vallecas,,CALLE,PAYASO FOFO,CALLE_PAYASO_FOFO,7,28018,PUENTE_DE_VALLECAS,Puente_de_Vallecas,13,PALOMERAS_BAJAS,Palomeras_Bajas,133,Madrid,443987.26,4471411.87,Externo,Energia reactiva,kVAr,8998
2021,4,2021-04,1971,Centros deportivos,CDM_Angel_Nieto-Puente_de_Vallecas,,CALLE,PAYASO FOFO,CALLE_PAYASO_FOFO,7,28018,PUENTE_DE_VALLECAS,Puente_de_Vallecas,13,PALOMERAS_BAJAS,Palomeras_Bajas,133,Madrid,443987.26,4471411.87,Externo,Gas,m3/h,11042
2021,4,2021-04,1692,Centros deportivos,CDM_Barajas,,AVENIDA,LOGROÑO,AVENIDA_LOGRONIO,70,28042,BARAJAS,Barajas_(Madrid),21,ALAMEDA_DE_OSUNA,Alameda_de_Osuna,211,Madrid,450214.44,4479338.63,Externo,Energia activa,kWh,41703
2021,4,2021-04,1692,Centros deportivos,CDM_Barajas,,AVENIDA,LOGROÑO,AVENIDA_LOGRONIO,70,28042,BARAJAS,Barajas_(Madrid),21,ALAMEDA_DE_OSUNA,Alameda_de_Osuna,211,Madrid,450214.44,4479338.63,Externo,Energia reactiva,kVAr,7741
2021,4,2021-04,1692,Centros deportivos,CDM_Barajas,,AVENIDA,LOGROÑO,AVENIDA_LOGRONIO,70,28042,BARAJAS,Barajas_(Madrid),21,ALAMEDA_DE_OSUNA,Alameda_de_Osuna,211,Madrid,450214.44,4479338.63,Externo,Gas,m3/h,13881.3
