Número,Código Ayto,Centro,Calle,Portal nº,Latitud,Longitud,Uso del edificio,Distrito,Distrito URI from dbpedia,Ciudad,Ciudad URI from wikidata,Potencia KWp,Empresa instaladora,Puesta en servicio
72,1095.0,CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ,PLAZA PUEBLO,1.0,40.3667683247534,-3.7011410630838,cultural,Usera,http://dbpedia.org/resource/Usera,Madrid,https://www.wikidata.org/wiki/Q2807,30.0,AURA,2018-10-15T14:00:00Z
73,1092.0,JMD USERA,AV/. RAFAELA YBARRA,41.0,40.3824125300917,-3.71075157478223,administrativo,Usera,http://dbpedia.org/resource/Usera,Madrid,https://www.wikidata.org/wiki/Q2807,5.0,AURA,2018-12-13T18:00:00Z
74,1894.0,CDM ORCASUR,C/ MOREJA,3.0,40.3702199337385,-3.69946890060774,deportivo,Usera,http://dbpedia.org/resource/Usera,Madrid,https://www.wikidata.org/wiki/Q2807,17.5,AURA,2019-02-13T18:00:00Z
75,2441.0,EI PENSAMIENTO (MIRASIERRA),C/ MIRASIERRA,27.0,40.409341,-3.602926,educativo,Usera,http://dbpedia.org/resource/Usera,Madrid,https://www.wikidata.org/wiki/Q2807,9.7,IMESAPI,2019-02-28T18:00:00Z
76,1890.0,CDM VICÁLVARO (MARGOT MOLÉS),Pº POLIDEPORTIVO,3.0,40.409140618584,-3.60326473285039,deportivo,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,Madrid,https://www.wikidata.org/wiki/Q2807,40.0,ELECTOSA,2018-09-04T14:00:00Z
77,1763.0,CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA,C/ BULEVAR INDALECIO PRIETO,21.0,40.399828914104,-3.62128189057037,cultural,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,Madrid,https://www.wikidata.org/wiki/Q2807,20.0,PECSA,2018-12-10T18:00:00Z
78,1028.0,CC EL MADROÑO Y BIBLIOTECA VICÁLVARO,C/ VILLARDONDIEGO,36.0,40.405292721436,-3.60861612000171,cultural,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,Madrid,https://www.wikidata.org/wiki/Q2807,8.2,PECSA,2018-12-10T18:00:00Z
79,1352.0,JMD VICÁLVARO,PLAZA DON ANTONIO DE ANDRÉS,18.0,40.4022704797848,-3.60598453308407,administrativo,Vicálvaro,http://dbpedia.org/resource/Vicálvaro,Madrid,https://www.wikidata.org/wiki/Q2807,3.7,PECSA,2018-12-10T18:00:00Z
80,1393.0,CSS PUERTO DE LAS PILAS,C/ FUENTIDUEÑA,16.0,40.370701,-3.621679,social,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,Madrid,https://www.wikidata.org/wiki/Q2807,20.0,PECSA,2018-12-10T18:00:00Z
81,277.0,CMM VILLA DE VALLECAS,C/ PICO DE MAMPODRE,6.0,40.3773243810878,-3.62124004842169,social,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,Madrid,https://www.wikidata.org/wiki/Q2807,6.0,PECSA,2018-11-15T18:00:00Z
82,1383.0,JMD VILLA DE VALLECAS,Pº FEDERICO GARCÍA LORCA,12.0,40.3788998244401,-3.6214547858699,administrativo,Villa de Vallecas,http://dbpedia.org/resource/Villa_de_Vallecas,Madrid,https://www.wikidata.org/wiki/Q2807,12.5,PECSA,2018-11-15T18:00:00Z
83,1770.0,CDM FÉLIX RUBIO,C/CIUDADANÍA,9.0,40.3574296786752,-3.69152880469694,deportivo,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,8.2,AURA,2018-07-02T14:00:00Z
84,1953.0,CC MARCONI,AV/ MARCONI,2.0,40.3347518321137,-3.70080956092159,cultural,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,10.0,AURA,2018-02-18T18:00:00Z
85,1905.0,CC LOS ROSALES (NUEVO ROSALES),AV/ LOS ROSALES,133.0,40.3507479743351,-3.67730644219692,cultural,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,20.0,AURA,2018-05-02T14:00:00Z
86,1031.0,CC BOHEMIOS,C/ BOHEMIOS,1.0,40.3563965425188,-3.69405018466108,cultural,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,10.0,AURA,2018-02-18T18:00:00Z
87,1109.0,JMD VILLAVERDE,C/ ARROYO BUENO,53.0,40.3488958485546,-3.71120030905872,administrativo,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,17.5,AURA,2018-12-10T18:00:00Z
88,1895.0,CDM EL ESPINILLO,CARRETERA DE VILLAVERDE A VALLECAS,19.0,40.3563419399193,-3.68659514182063,deportivo,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,10.0,AURA,2020-01-28T18:00:00Z
89,2438.0,EI MAMUT  (BUTARQUE),C/ MARICARA,32.0,40.337689,-3.677163,educativo,Villaverde (Madrid),http://dbpedia.org/resource/Category:Villaverde_(Madrid),Madrid,https://www.wikidata.org/wiki/Q2807,5.0,UGARTE,2019-02-28T18:00:00Z
90,0.0,PARQUE BOMBEROS Nº 8,CALLE BOADA,9.0,40.3946173183705,-3.65313089708813,seguridad,Puente de Vallecas,http://dbpedia.org/resource/Puente_de_Vallecas,Madrid,https://www.wikidata.org/wiki/Q2807,25.0,FERROVIAL,2019-10-17T14:00:00Z
91,0.0,CASA ASOCIACIONES HORTALEZA,CALLE MATAPOZUELOS,6.0,40.461589,-3.649947,social,Hortaleza,http://dbpedia.org/resource/Hortaleza,Madrid,https://www.wikidata.org/wiki/Q2807,9.0,DESCONOCIDO,2020-03-22T18:00:00Z
92,0.0,EI PLÉYADES,AVENIDA SECUNDINO ZUAZO,52.0,40.4953303405269,-3.62038557307297,educativo,Hortaleza,http://dbpedia.org/resource/Hortaleza,Madrid,https://www.wikidata.org/wiki/Q2807,8.2,DESCONOCIDO,2021-10-30T17:00:00Z
